Annotation Cluster 1,Enrichment Score: 21.955114230601968,,,,,,,,,,,
GOTERM_CC_FAT,GO:0044454~nuclear chromosome part,136,5.91818973,9.92E-18,"MEF2A, CBX3, TBP, AURKA, AURKB, CBX1, WDR82, MCM10, CBX5, PRIM1, KDM1A, RAD21, DDX11, INCENP, GATA4, PRIM2, PSIP1, H2AFZ, ORC6, RARA, H2AFX, ORC1, H1F0, MCRS1, BEND3, MMS22L, MTA2, SGOL1, POLE, ARID1A, NCAPD3, ESCO2, NCAPD2, SUZ12, UHRF1, SMARCE1, JUN, MCMBP, AKAP8, SMARCA1, HMGB2, BLM, TIPIN, TRRAP, SYCP1, VDR, TRP53BP1, ACD, POLE2, CENPC1, ASF1B, TCF3, NR1H4, TRP53, ASXL2, GINS1, DNMT3A, CREBBP, ASXL1, SUV39H1, BRCA2, NDC80, RBMX, BRCA1, DNA2, HDAC2, HDAC1, PLK1, SMARCC1, RNF2, POLD1, POLD2, SMARCC2, PCNA, H3F3A, RBMXL1, RFX3, H3F3B, PARP1, CHAF1B, TCF12, E2F1, EZH2, MLH1, PAWR, SAP30, PCGF2, MCM7, HEY2, MYC, HIST3H2BA, BRD8, CDK1, RBBP4, POGZ, DSN1, DDB1, LDB1, ANP32E, MCM2, MCM3, MCM4, MCM5, PURB, RAD50, MCM6, RAD51, BUB1B, FOXC1, SMARCAD1, SCML2, POLA1, PML, POLA2, TCF7L2, POLR2A, RPA3, RPA2, CENPA, BUB1, TERF2, CHD4, RAD51AP1, NUCKS1, ZFP57, NFRKB, NASP, TRIM28, CENPE, SIRT6, SNAI2, FAM60A, SP1, H2AFY2, ZRANB3, MIS18BP1",1683,555,14413,2.098534899,9.66E-15,1.61E-15,1.56E-14
GOTERM_CC_FAT,GO:0000785~chromatin,128,5.570060923,6.78E-17,"HMGN1, MEF2A, HMGN3, HMGN2, CBX3, TBP, CBX2, REST, CBX1, WDR82, CBX6, CBX5, MAGED1, KDM1A, RAD21, DDX11, INCENP, GATA4, H2AFZ, PSIP1, RARA, H2AFX, OGT, STAG2, STAG1, H1F0, MCRS1, BEND3, RCOR2, MTA2, ARID1A, NCAPD3, ESCO2, SUZ12, UHRF1, SMARCE1, JUN, MCMBP, RAD18, AKAP8, SMARCA1, DSCC1, HMGB2, TNRC18, TIPIN, CHEK1, TRRAP, VDR, CENPC1, ASF1B, TCF3, HELLS, NR1H4, TRP53, ASXL2, DNMT3A, CREBBP, FAM111A, ASXL1, SUV39H1, RBMX, FAM178A, CTR9, HDAC2, HDAC1, PLK2, PLK1, NEDD4, SMARCC1, RNF2, SALL1, SMARCC2, DNMT1, H3F3A, RBMXL1, RFX3, H3F3B, TMPO, CHAF1B, TCF12, E2F1, KIF22, EZH2, HLCS, PAWR, SAP30, PCGF2, HEY2, MTBP, TOP2B, MYC, HIST3H2BA, BRD8, RBBP4, POGZ, LDB1, ANP32E, MBD4, MCM2, CDK4, HMGA2, RAD50, RAD51, CCND2, FOXC1, SMARCAD1, SCML2, POLA1, TCF7L2, POLR2A, RPA2, CENPA, CHD4, PDS5B, RAD51AP1, NUCKS1, ZFP57, NFRKB, NASP, TRIM28, SIRT6, SNAI2, FAM60A, SP1, ID2, SFPQ, H2AFY2, KDM4A",1683,520,14413,2.108030532,1.08E-13,1.20E-14,1.78E-13
,,,,,,,,,,,,
Annotation Cluster 3,Enrichment Score: 20.571822505436412,,,,,,,,,,,
Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_FAT,"GO:0006351~transcription, DNA-templated",503,21.88859878,2.86E-24,"MEF2A, REST, MAGED1, CDCA7, PPP1R1B, YEATS2, DHX33, PATZ1, RPL11, OGT, CCNA2, MAP2K6, PTPRK, MCRS1, PCBD1, RCOR2, RCOR1, PTBP1, HMG20A, MED14, TOX3, TOX2, CTDSPL2, ZFP280C, JUN, ROR2, TGIF1, TGIF2, MAPK7, VGLL4, EIF2AK4, ERBB4, TNRC18, ERBB2, CRTC1, MYEF2, MYBL1, MYBL2, PFN1, CASZ1, TCF3, ASXL2, DNMT3A, KLF10, ASXL1, KLF11, KLF14, TNNI2, SRSF5, PCNA, H3F3A, RBMXL1, H3F3B, RAD54L2, PARP1, RERE, SPIN1, BACH2, ELF4, EZH2, CCNE1, DYNLL1, HSF2, HLX, ZFP354A, MYC, ZFP354C, BRD8, ARHGEF2, MICAL2, GMEB1, TLE2, TTF2, FLNA, MYCN, BRWD3, INHBA, NCK2, SS18, CCND1, CCND3, FANCD2, CAND1, FOXC1, USP22, ZSCAN18, LIN9, PML, EZR, ZSCAN22, ZSCAN21, NPAT, ARMCX3, BRD3, NUCKS1, TRIM28, IGF1, IGF2, MID2, DOT1L, SOST, PHF19, HNRNPUL1, SFPQ, WHSC1L1, RBAK, ZBTB5, NR5A2, BMP10, RNASEL, ZXDC, CNOT3, TCEAL5, TCEAL8, TBP, TCEAL7, NFXL1, TCEAL1, CNOT6, ZFP580, CBFB, CSNK2A2, DPY30, GTF2E1, KDM1A, ZFP507, PSIP1, ZFP503, SPATA24, SAMD4B, BEND3, BEND6, MTA2, RBL1, ARID1A, GRHL1, HHEX, HIF1A, KDM2B, SMARCE1, ZFP516, COL1A1, EDA, SMARCA1, NFE2L3, SLC40A1, XRN2, HMGB1, EID1, HMGB2, BBS7, SETD1B, SESN2, MDK, MEIS1, NR2C1, COMMD10, VDR, HNRNPD, ASF1B, HELLS, TFDP1, TRP53, EHMT1, SUV39H1, HACE1, BRIP1, TEAD2, WHSC1, RBMX, CDKN1C, ZFP579, HDAC2, CDKN1B, HDAC1, PLK1, EBF3, SMARCC1, SMARCC2, ATF7, TDG, ABL1, CACNA1D, HDAC6, E2F1, E2F2, ZFP13, E2F7, DICER1, E2F8, WWC1, ZKSCAN1, DEK, PAWR, ZKSCAN2, PRMT2, MAZ, LBH, GPC3, ZFP647, PRMT6, HEY2, CDK5RAP2, LRRFIP1, LOXL2, NRG1, KDM5B, KDM5C, SSBP3, ZFP553, ARID5B, NCOA7, CDK6, HMGA2, ZFP28, PURB, CDK2, NCOA5, NCOA6, KDM6B, IRX4, IRX5, NDN, CRLF3, NFYA, PRDM16, ARID2, IGF1R, HIC2, CHD8, PRDM11, ZFP523, NFATC4, GTF3C1, CHD4, NFRKB, FBN1, CREB5, RASL11A, MED30, ID2, ZBED4, ZBED3, H2AFY2, HIF3A, ZFP532, MAMLD1, ID4, KDM4A, TBL1X, HMGN1, HMGN3, HMGN2, EDN1, AURKB, NONO, PRIM1, SFSWAP, DDX17, ATP2B4, DDX11, INSIG1, PRIM2, CREB3L2, H2AFZ, CREB3L1, RARA, H2AFX, PITX2, ZFP326, ZFP467, PIM1, ZFP827, UHRF1, ZFP462, PIAS2, CDCA7L, ZFP821, TGFB1I1, DEAF1, CHEK1, AFAP1L2, ZFP618, PLAGL1, TCF21, AHRR, TRP53BP1, NRARP, AGRN, MAML3, NR1H4, HNRNPAB, PLAGL2, MDFI, KLF5, PLAG1, SUB1, MAML1, SMAD6, CREBBP, RYBP, EN1, PMF1, SMAD1, NOTCH2, SFRP1, RNF4, CSRNP2, SFRP2, ETS1, RNF2, DCP1A, BCL6B, JAZF1, RAD54B, BMP7, CHAF1B, TCF12, ATAD2B, ENY2, TCEANC, ZFP41, NPNT, TBX20, GLI2, GLI3, EDNRB, MBTD1, WBP5, NR2F2, TOP2A, ZFP422, ZCCHC11, RBBP4, GTF2B, ZFP37, DACT1, RBM39, TBX18, IFT74, ZFP711, LCORL, 2410016O06RIK, ZFP414, WTIP, KIT, CIC, ZFP318, ZFP319, POLR2A, BCL11B, BCL11A, MEG3, GATAD2A, ETV1, ZFP217, ETV4, BCL9, FZD8, POLR3F, ZFP57, TBX2, ZFP704, FZD1, YWHAB, ILF3, BIRC5, FZD2, FZD5, SNAI2, IWS1, CAPRIN2, DKK3, YWHAH, CDON, YWHAQ, PHF21A, NEUROD1, PTCH1, PBX1, RBM14, PBX3, PBX2, THRA, MORF4L2, CBX3, CBX2, CBX1, CBX6, CBX5, GM10093, WNT2, RAD21, MYOCD, GATA6, CGGBP1, GATA4, DDX39B, BASP1, TRERF1, STK3, SUZ12, TRIM37, TRIM33, GTF2IRD1, RIPK3, RIPK4, AKAP8, CAV1, TFAP4, BLM, SNX6, SOX4, ELK3, TRRAP, SOX9, SRC, NPM1, EWSR1, CKAP2, RFX5, RFX7, BRCA2, ATAD2, MALT1, ITGA3, TET2, TRIM62, TET1, FOXP4, BRCA1, CTR9, SREBF2, SALL2, TET3, PRICKLE1, NEDD4, ITGA8, SALL1, DNMT1, RFX3, FOXK1, CBFA2T2, LGR4, NFATC2IP, AKT1, SAP30, ACVR1B, BZW1, FUBP3, PCGF2, PCGF3, LTF, MT3, EGR1, KHDRBS1, LDB1, SOX11, SOX12, PRKCI, RUNX1T1, LDB2, UBE2I, IFNAR1, PRKD1, EYA3, SMO, LARP7, KHSRP, MDM4, NGFR, ZFP369, ZFP367, PEG3, CAMK1D, CKS1B, ZFP395, ZBTB8B, FOXM1, GLIS2, HCFC1, CTNND1, TCF7L2, TRIB2, NPAS2, CDYL, ERCC6, HAND1, NFAT5, PPP1R12A, ZFP292, CAMK2A, TXNIP, L3MBTL3, PSRC1, SIRT6, 4930447C04RIK, SP1, SULF1, CKS2, PSPC1, ZFP184, F2R",1926,3129,17911,1.494947609,2.50E-20,1.67E-21,5.76E-21
,,,,,,,,,,,,
Annotation Cluster 4,Enrichment Score: 17.570628393502105,,,,,,,,,,,
Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_FAT,GO:0006325~chromatin organization,152,6.614447346,2.25E-15,"HMGN1, HMGN3, MORF4L2, CBX3, TBP, CBX2, AURKB, REST, SART3, WDR82, CBX6, KDM1A, DPY30, USP27X, BRPF3, DDX11, MYOCD, YEATS2, H2AFZ, H2AFX, OGT, H1F0, MCRS1, BEND3, MTA2, RCOR1, FMR1, RBL1, HMG20A, ARID1A, SUZ12, TRIM37, UHRF1, KDM2B, SMARCE1, ZFP462, PYGO2, AKAP8, SMARCA1, EID1, HMGB1, TNRC18, SETD1B, CHEK1, TRRAP, SOX9, SYCP1, TCF21, VRK1, NPM1, WDHD1, ASF1B, TCF3, NR1H4, HELLS, TRP53, ASXL2, DNMT3A, EHMT1, ASXL1, CREBBP, RYBP, SUV39H1, ATAD2, BRCA2, WHSC1, TET2, TET1, BRCA1, CTR9, TET3, HDAC2, HDAC1, SMARCC1, SALL1, RNF2, SMARCC2, TDG, H3F3A, DNMT1, H3F3B, CHAF1B, RERE, ATAD2B, HDAC6, ENY2, KDM6A, SPIN1, EZH2, DICER1, NAP1L1, NAP1L3, HLCS, DEK, PTMA, SAP30, PRMT1, PCGF2, PRMT2, MBTD1, PRMT6, LOXL2, HIST3H2BA, MYC, KDM5B, KDM5C, BRD8, MT3, RBBP4, ANP32B, DDB1, LDB1, ANP32E, MCM2, HMGA2, EYA3, PRKD1, NCOA6, USP22, KDM6B, SMARCAD1, 2410016O06RIK, SCML2, PML, HCFC1, TSPYL5, ARID2, CHD8, CENPA, HJURP, CHD4, CHD3, BRD3, L3MBTL3, NUCKS1, NASP, TRIM28, SNAI2, IWS1, FBL, GSG2, DOT1L, PHF19, PHF13, CDAN1, SFPQ, H2AFY2, WHSC1L1, PHF21A, KDM4A, TBL1X, RBM14",1926,739,17911,1.912769775,1.94E-11,2.81E-13,4.47E-12
GOTERM_BP_FAT,GO:0016569~covalent chromatin modification,115,5.00435161,2.58E-14,"HMGN3, MORF4L2, CBX3, CBX2, REST, AURKB, SART3, WDR82, CBX6, KDM1A, DPY30, USP27X, BRPF3, MYOCD, YEATS2, OGT, MCRS1, BEND3, RCOR1, RBL1, FMR1, HMG20A, ARID1A, TRIM37, SUZ12, UHRF1, KDM2B, SMARCE1, PYGO2, AKAP8, SMARCA1, EID1, SETD1B, CHEK1, TRRAP, TCF21, VRK1, ASF1B, TCF3, HELLS, NR1H4, TRP53, ASXL2, DNMT3A, EHMT1, CREBBP, ASXL1, RYBP, SUV39H1, BRCA2, WHSC1, TET2, TET1, BRCA1, CTR9, TET3, HDAC2, HDAC1, RNF2, SALL1, SMARCC1, SMARCC2, TDG, DNMT1, HDAC6, ENY2, SPIN1, KDM6A, EZH2, HLCS, DEK, PCGF2, PRMT1, MBTD1, PRMT2, PRMT6, LOXL2, KDM5B, KDM5C, BRD8, MT3, RBBP4, DDB1, LDB1, ANP32E, HMGA2, EYA3, PRKD1, NCOA6, USP22, KDM6B, SMARCAD1, 2410016O06RIK, SCML2, PML, HCFC1, CHD8, CHD4, BRD3, L3MBTL3, TRIM28, SNAI2, IWS1, FBL, GSG2, DOT1L, PHF19, PHF13, SFPQ, H2AFY2, WHSC1L1, PHF21A, KDM4A, TBL1X, RBM14",1926,515,17911,2.076606277,2.26E-10,2.76E-12,5.21E-11
GOTERM_BP_FAT,GO:0016570~histone modification,86,3.742384682,1.66E-09,"ENY2, KDM6A, EZH2, MORF4L2, HLCS, REST, AURKB, WDR82, SART3, KDM1A, DPY30, PRMT1, USP27X, PCGF2, PRMT2, BRPF3, MYOCD, PRMT6, YEATS2, OGT, LOXL2, KDM5B, KDM5C, BRD8, MT3, MCRS1, BEND3, DDB1, LDB1, RCOR1, FMR1, HMGA2, EYA3, PRKD1, SUZ12, TRIM37, UHRF1, KDM2B, NCOA6, PYGO2, USP22, AKAP8, KDM6B, SMARCAD1, EID1, 2410016O06RIK, SCML2, PML, HCFC1, CHEK1, TRRAP, TCF21, VRK1, TCF3, NR1H4, TRP53, ASXL2, EHMT1, ASXL1, CREBBP, SUV39H1, RYBP, BRCA2, WHSC1, SNAI2, TET2, TET1, IWS1, GSG2, BRCA1, FBL, CTR9, DOT1L, TET3, PHF19, HDAC2, HDAC1, RNF2, SFPQ, SALL1, WHSC1L1, DNMT1, KDM4A, TBL1X, RBM14, HDAC6",1926,410,17911,1.950644581,1.46E-05,8.98E-08,3.35E-06
,,,,,,,,,,,,
Annotation Cluster 5,Enrichment Score: 16.113896919609697,,,,,,,,,,,
Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_FAT,GO:0007010~cytoskeleton organization,212,9.225413403,2.95E-17,"KIFC1, MEF2A, EDN1, PDLIM3, AURKA, AURKB, CTTNBP2, CTGF, VANGL2, RAP1GDS1, CEP152, MARK1, KRT18, NAV1, SPAG5, SIPA1L1, CNTROB, RAB13, DBN1, NEK2, ELN, CHEK1, MYBL2, DAAM2, PXN, SEMA5A, PFN1, OBSL1, FBXO5, AGRN, SKA1, CDC42EP5, KIF3A, ARFIP2, ALMS1, CDC20, MYOZ1, NDC80, CELSR1, CSRP1, EPHA3, SFRP1, RNF4, WDR62, GAS2L3, WASF1, BCAR1, WASF2, MLH1, RASSF7, ACTR3, TMSB15B1, TUBB5, MICAL1, TMSB15B2, ARHGEF2, TMSB15L, GEN1, MICAL2, SPECC1, MICAL3, CCNF, TPX2, SLIT2, ELMO2, FLNA, BRWD3, NCK2, SS18, PLEKHH2, PARVA, SHROOM2, ABI2, KIT, WTIP, HDGFRP3, EZR, IFT46, KIRREL, PTK2B, FAT1, BCL2, KIFC5B, CAPN6, BIRC5, MID1, KANK4, YWHAH, ZFP207, RBM14, CIT, KATNAL2, PHLDB2, KIF20A, BMP10, CEP72, MTSS1, STIL, PLXNA3, PRC1, SEPT1, PDGFA, CAPZA1, ITPKA, TGFB2, STARD9, ASPM, ACTN4, SGOL1, PDXP, ACTN1, TMSB10, TACC3, TRIM37, STMN1, CCDC8, CEP97, CAV1, ARPC5, TTC8, SOX9, SRC, NPM1, CKAP2, DIXDC1, NIN, ZMYM4, FSCN1, BRCA2, DOCK7, MTAP7D3, EVL, INSC, 2810417H13RIK, BRCA1, CORO1C, PLK4, HDAC2, CDKN1B, PLK2, PLK1, ANTXR1, ABL1, PHPT1, HDAC6, MYH10, KIF23, CDC14A, TLN2, FIGNL1, CEP57L1, PREX1, DICER1, ARHGAP18, ARHGAP17, PIP5K1A, PAWR, SYNPO2L, DSTN, AKT1, KIF2C, SPRY2, CDC42, CTTN, RANBP1, ZYX, CDK5RAP2, CNTLN, TUBA1B, KIF14, KIF11, LIMK1, PRKCI, ARHGAP28, NUSAP1, VASP, CDK2, EML4, EML2, PPM1E, CAPN10, TBCD, CFL1, SCIN, HAUS7, CASQ1, HAUS4, HAUS6, CNN3, FRYL, CALD1, VIM, BRSK1, NCKAP5L, CEP57, CENPA, PPP1R12A, MZT1, DCLK2, GPSM2, CNN1, EHD2, CHD4, CHD3, CEP192, PSRC1, DPYSL3, DPYSL2, RACGAP1, GMFB, PPP1R9A, SH3D19",1926,1120,17911,1.76027852,2.58E-13,4.16E-15,5.95E-14
GOTERM_BP_FAT,GO:0007017~microtubule-based process,137,5.961705831,3.13E-15,"KIFC1, STIL, CEP72, TUBB2B, SEPT1, PRC1, TUBB2A, AURKA, AURKB, STARD9, DYNC2H1, ASPM, SGOL1, TACC3, CEP152, NME7, MARK1, TRIM37, HIF1A, NAV1, SPAG5, CNTROB, STMN1, KIF26A, XRN2, CCDC8, KIF26B, CEP97, CAV1, NEK3, NEK2, CHEK1, ARPC5, MYBL2, NPM1, OBSL1, FBXO5, TUBE1, AGRN, SKA1, CKAP2, DIXDC1, KIF3A, NIN, BRCA2, CDC20, NDC80, MTAP7D3, DOCK7, INSC, 2810417H13RIK, BRCA1, EPHA3, PLK4, CDKN1B, PLK2, RNF4, WDR62, PLK1, RFX3, ABL1, HDAC6, KIF23, GAS2L3, KIF22, CDC14A, FIGNL1, CEP57L1, UCHL1, DICER1, MLH1, RASSF7, ACTR3, KIF2C, SPRY2, CDC42, DYNLL1, TUBB5, RANBP1, CDK5RAP2, TUBA1A, CNTLN, TUBA1B, AP3B1, KIF14, ARHGEF2, RPGR, KIF11, IFT80, GEN1, SPECC1, CCNF, KIF15, TPX2, NUSAP1, FLNA, CDK2, EML4, EML2, SS18, KIF1A, TBCD, HAUS7, DYNC1I2, IFT74, HAUS4, HAUS6, BRSK1, NCKAP5L, HDGFRP3, WDR19, EZR, IFT46, KIF7, CEP57, CENPA, PPP1R12A, MZT1, DCLK2, GPSM2, CHD4, CHD3, KIFC5B, CAPN6, CEP192, PSRC1, CENPE, BIRC5, MID1, RACGAP1, ICK, KIF20B, ZFP207, RBM14, KATNAL2, PHLDB2, KIF20A",1926,642,17911,1.984490801,2.72E-11,3.83E-13,6.26E-12
